run_id,trial,patch_state,warmup,value_before,attempted_value,value_after,state_reset_confirmed,attack_success,state_changed,write_response
real_can_latency_20260710,1,before,true,,0001,0001,true,true,true,6E1234
real_can_latency_20260710,2,before,true,0001,0002,0002,false,true,true,6E1234
real_can_latency_20260710,3,before,true,0002,0003,0003,false,true,true,6E1234
real_can_latency_20260710,4,before,true,0003,0004,0004,false,true,true,6E1234
real_can_latency_20260710,5,before,true,0004,0005,0005,false,true,true,6E1234
real_can_latency_20260710,6,before,true,0005,0006,0006,false,true,true,6E1234
real_can_latency_20260710,7,before,true,0006,0007,0007,false,true,true,6E1234
real_can_latency_20260710,8,before,true,0007,0008,0008,false,true,true,6E1234
real_can_latency_20260710,9,before,true,0008,0009,0009,false,true,true,6E1234
real_can_latency_20260710,10,before,true,0009,000A,000A,false,true,true,6E1234
real_can_latency_20260710,11,before,true,000A,000B,000B,false,true,true,6E1234
real_can_latency_20260710,12,before,true,000B,000C,000C,false,true,true,6E1234
real_can_latency_20260710,13,before,true,000C,000D,000D,false,true,true,6E1234
real_can_latency_20260710,14,before,true,000D,000E,000E,false,true,true,6E1234
real_can_latency_20260710,15,before,true,000E,000F,000F,false,true,true,6E1234
real_can_latency_20260710,16,before,true,000F,0010,0010,false,true,true,6E1234
real_can_latency_20260710,17,before,true,0010,0011,0011,false,true,true,6E1234
real_can_latency_20260710,18,before,true,0011,0012,0012,false,true,true,6E1234
real_can_latency_20260710,19,before,true,0012,0013,0013,false,true,true,6E1234
real_can_latency_20260710,20,before,true,0013,0014,0014,false,true,true,6E1234
real_can_latency_20260710,21,before,false,0014,0015,0015,false,true,true,6E1234
real_can_latency_20260710,22,before,false,0015,0016,0016,false,true,true,6E1234
real_can_latency_20260710,23,before,false,0016,0017,0017,false,true,true,6E1234
real_can_latency_20260710,24,before,false,0017,0018,0018,false,true,true,6E1234
real_can_latency_20260710,25,before,false,0018,0019,0019,false,true,true,6E1234
real_can_latency_20260710,26,before,false,0019,001A,001A,false,true,true,6E1234
real_can_latency_20260710,27,before,false,001A,001B,001B,false,true,true,6E1234
real_can_latency_20260710,28,before,false,001B,001C,001C,false,true,true,6E1234
real_can_latency_20260710,29,before,false,001C,001D,001D,false,true,true,6E1234
real_can_latency_20260710,30,before,false,001D,001E,001E,false,true,true,6E1234
real_can_latency_20260710,31,before,false,001E,001F,001F,false,true,true,6E1234
real_can_latency_20260710,32,before,false,001F,0020,0020,false,true,true,6E1234
real_can_latency_20260710,33,before,false,0020,0021,0021,false,true,true,6E1234
