profile,case_id,gateway_mode,session_strategy,key_strategy,did,data_hex,data_length,valid_attack_shape,attack_success,session_response,seed_response,key_response,write_response,read_response,failure_reason
before_hotpatch,0,misconfigured,extended,correct_seed_key,0x1234,4B6E,2,true,true,5003,67011201,6702,6E1234,6212344B6E,-
before_hotpatch,1,misconfigured,extended,correct_seed_key,0x1234,,0,false,false,5003,67011201,6702,7F2E13,621234,write_rejected_length
before_hotpatch,2,misconfigured,extended,correct_seed_key,0x1234,66A938BE24,5,false,false,5003,67011201,6702,7F2E13,621234,write_rejected_length
before_hotpatch,3,misconfigured,skip_session,correct_seed_key,0x1001,A724,2,false,false,-,7F2722,7F2722,7F2E31,6210014210,write_rejected_request_out_of_range
before_hotpatch,4,misconfigured,reset_after_unlock,correct_seed_key,0x1234,385B,2,false,false,5001,67011201,6702,7F2E22,621234,mutation_not_successful
before_hotpatch,5,misconfigured,extended,correct_seed_key,0x1234,37976C40,4,true,true,5003,67011201,6702,6E1234,62123437976C40,-
before_hotpatch,6,misconfigured,extended,correct_seed_key,0x1234,9B,1,true,true,5003,67011201,6702,6E1234,6212349B,-
before_hotpatch,7,misconfigured,extended,correct_seed_key,0x1234,19DF,2,true,true,5003,67011201,6702,6E1234,62123419DF,-
before_hotpatch,8,misconfigured,extended,correct_seed_key,0x1234,587F,2,true,true,5003,67011201,6702,6E1234,621234587F,-
before_hotpatch,9,misconfigured,extended,correct_seed_key,0x1234,AACF,2,true,true,5003,67011201,6702,6E1234,621234AACF,-
before_hotpatch,10,misconfigured,extended,wrong_key,0x1234,46EEA0,3,false,false,5003,67011201,7F2733,7F2E33,621234,write_rejected_security_access_denied
before_hotpatch,11,misconfigured,extended,correct_seed_key,0x1234,66,1,true,true,5003,67011201,6702,6E1234,62123466,-
before_hotpatch,12,misconfigured,extended,correct_seed_key,0x1234,91,1,true,true,5003,67011201,6702,6E1234,62123491,-
before_hotpatch,13,misconfigured,extended,correct_seed_key,0x1234,185773,3,true,true,5003,67011201,6702,6E1234,621234185773,-
before_hotpatch,14,misconfigured,extended,correct_seed_key,0x1234,,0,false,false,5003,67011201,6702,7F2E13,621234,write_rejected_length
before_hotpatch,15,misconfigured,extended,correct_seed_key,0x1234,E113834F,4,true,true,5003,67011201,6702,6E1234,621234E113834F,-
before_hotpatch,16,misconfigured,extended,correct_seed_key,0x1234,3F0F,2,true,true,5003,67011201,6702,6E1234,6212343F0F,-
before_hotpatch,17,misconfigured,extended,wrong_key,0x1234,AC49,2,false,false,5003,67011201,7F2733,7F2E33,621234,write_rejected_security_access_denied
before_hotpatch,18,misconfigured,extended,correct_seed_key,0x1234,6464BA30,4,true,true,5003,67011201,6702,6E1234,6212346464BA30,-
before_hotpatch,19,misconfigured,extended,correct_seed_key,0x1234,E170,2,true,true,5003,67011201,6702,6E1234,621234E170,-
before_hotpatch,20,misconfigured,extended,correct_seed_key,0x1234,78,1,true,true,5003,67011201,6702,6E1234,62123478,-
before_hotpatch,21,misconfigured,extended,correct_seed_key,0x1234,3428676B,4,true,true,5003,67011201,6702,6E1234,6212343428676B,-
before_hotpatch,22,misconfigured,extended,correct_seed_key,0x1234,3FAA48B4,4,true,true,5003,67011201,6702,6E1234,6212343FAA48B4,-
before_hotpatch,23,misconfigured,skip_session,correct_seed_key,0x1234,,0,false,false,-,7F2722,7F2722,7F2E22,621234,mutation_not_successful
before_hotpatch,24,misconfigured,extended,correct_seed_key,0x1234,0A,1,true,true,5003,67011201,6702,6E1234,6212340A,-
before_hotpatch,25,misconfigured,extended,correct_seed_key,0x1234,615CC944,4,true,true,5003,67011201,6702,6E1234,621234615CC944,-
before_hotpatch,26,misconfigured,extended,correct_seed_key,0x2222,970E,2,false,false,5003,67011201,6702,7F2E31,7F2231,write_rejected_request_out_of_range
before_hotpatch,27,misconfigured,extended,correct_seed_key,0x1234,17,1,true,true,5003,67011201,6702,6E1234,62123417,-
before_hotpatch,28,misconfigured,extended,correct_seed_key,0x1234,5A4AEA,3,true,true,5003,67011201,6702,6E1234,6212345A4AEA,-
before_hotpatch,29,misconfigured,extended,correct_seed_key,0x1234,8D3BF4,3,true,true,5003,67011201,6702,6E1234,6212348D3BF4,-
before_hotpatch,30,misconfigured,extended,correct_seed_key,0x1234,F336,2,true,true,5003,67011201,6702,6E1234,621234F336,-
